English,Glossary_Czech,AI_Czech,Match_Level,Match_Desc
"\nSelect objects: 1 found, filtered, total %d","\nVybrat objekty: 1 nalezeno, filtrované, %d celkem","\nVyberte objekty: 1 nalezeno, filtrováno, celkem %d",3,mismatch
\nSelect view to update or [All views]:,\nVyberte zobrazení k aktualizaci nebo [Všechna zobrazení]:,\nVyberte zobrazení k aktualizaci nebo [Všechna zobrazení]:,0,exact
\nSpecify parameter point to associate with action or enter [Base point/Second point/Xcorner/Ycorner]%ls:,\nUrčete bod parametru pro asociaci s akcí nebo zadejte [Základní bod/Druhý bod/Xroh/Yroh]%ls:,"\nZadejte bod parametru, který chcete přiřadit k akci, nebo zadejte [Základní bod/Druhý bod/Xcorner/Ycorner]%ls:",3,mismatch
\nSpecify start point or [Name/Label/Chain/Description/Base/Palette/Value set]:,\nUrčete počáteční bod nebo [Název/Štítek/Řetězec/Popis/Základní/pAleta/Hodnota nastavení]:,\nUveďte počáteční bod nebo [Název/Štítek/Řetěz/Popis/Základ/Paleta/Sada hodnot]:,3,mismatch
\nSpecify the end point of text:,\nUrčete koncový bod textu:,\nUrčete koncový bod textu:,0,exact
\nSpecify the first endpoint of the circle's diameter:,\nUrčete první koncový bod průměru kružnice:,\nUrčete první koncový bod průměru kružnice:,0,exact
\nSpecify the first point or [Method/Degree/Object]:,\nZadejte první bod nebo [Metoda/Stupeň/Objekt]:,\nUrčete první bod nebo [Metoda/Stupeň/Objekt]:,3,mismatch
\nSpecify the location of dimension arc line or [Mtext/Text/Angle]:,\nUrčit umístění obloukové kóty nebo [Mtext/Text/Úhel]:,\nUrčete umístění kótovací obloukové čáry nebo [Mtext/Text/Úhel]:,3,mismatch
\nSpecify the next point or [Angle/Length/Follow/Undo]:,\nUrčete další bod nebo [Úhel/Délka/Sledovat/Zpět]:,\nUrčete další bod nebo [Úhel/Délku/Následovat/Zpět]:,3,mismatch
\nSpecify the offset distance of polygon or [Radius/Equidistant/Undo] <%ls>:,\nUrčete vzdálenost odsazení mnohoúhelníku nebo [poloměR/Odsazení/Zpět] <%ls>:,\nUrčete vzdálenost odsazení polygonu nebo [Radius/Equidistant/Undo] <%ls>:,3,mismatch
"\nThe block ""%ls"" already exists. Would you like to redefine it?","\nBlok ""%ls"" již existuje. Chcete ho předefinovat?","\nBlok ""% ls"" již existuje. Chtěli byste to předefinovat?",3,mismatch
\nTimer is off.,\nČasovač vypnut.,\nČasovač je vypnutý.,3,mismatch
A valid distance is needed. Please try again.,Je potřeba platná vzdálenost. Zkuste to prosím znovu.,Je vyžadována platná vzdálenost. Zkuste to prosím znovu.,3,mismatch
Add to Dictionary,Přidat do slovníku,Přidat do slovníku,0,exact
Add to Favorites,Přidat k oblíbeným,Přidat k oblíbeným,0,exact
Alt sub-zero factor,Alt sub-zero faktor,Alt mínus faktor,3,mismatch
Always Display as WYSIWYG,Vždy zobrazit jako WYSIWYG,Vždy zobrazovat jako WYSIWYG,3,mismatch
Ang type,Typ úhlu,Typ Ang,3,mismatch
Annotation scale is not equal to viewport scale: Click to synchronize,Poznámkové měřítko není rovno měřítku výřezu: Klikněte pro synchronizaci,Měřítko anotace se nerovná měřítku výřezu: Klepnutím synchronizujte,3,mismatch
Apply to:,Použít na:,Použít na:,0,exact
Arc Dimension,Kóta oblouku,Dimenze oblouku,3,mismatch
Arc Length Total Undo Close _Arc Length Total Undo Close,Oblouk Délka Celkový Zpět Uzavři _Arc Length Total Undo Close,Délka oblouku Celkem Zpět Zavřít _Délka oblouku Celkem Zpět Zavřít,3,mismatch
Archive,Archivní,Archiv,2,partial
Array - Associative Path Array,Pole - Asociativní cesta pole,Pole - Asociativní pole cest,3,mismatch
Attach DWG,Přiložit DWG,Připojte DWG,3,mismatch
ATTIPEDIT,ATIPEDIT,ATTIPEDIT,3,mismatch
Automatically update fields when file is regenerating.,Automaticky aktualizovat pole při regeneraci souboru.,Automaticky aktualizovat pole při regeneraci souboru.,0,exact
Autosave file:,Soubor Autoulož:,Automatické ukládání souboru:,3,mismatch
Blocks Dimstyles Groups LAyers LTypes Printstyles SHapes textSTyles Tablestyles Mlinestyles MUltileaderstyles Regapp Zero Empty All _Blocks Dimstyles Groups LAyers LTypes Printstyles SHapes textSTyles Tablestyles Mlinestyles MUltileaderstyles Regapp Zero Empty All,Bloky Kótovacístyly Skupiny Hladiny TYpyčar stylyTisku TVary stylyTExtu stylyTAbulek stylyMUltičar STyly Regapp Geometrie Prázdné Vše _Blocks Dimstyles Groups LAyers LTypes Printstyles SHapes textSTyles Tablestyles Mlinestyles MUltileaderstyles Regapp Zero Empty All,Bloky Dimstyles Skupiny Vrstvy LTypy Styly tisku TVARY textStyly Styly tabulek Mlinestyles VÍCE stylů aderů Regapp Zero Empty All _Blocks Dimstyles Skupiny Vrstvy LTypes Styly tisku TVARY textSTyly Styly tabulek Mlinestyles VÍCE APLIKACE Zero prázdné Styly Regapp,3,mismatch
Blocks Tools,Nástroje bloků,Nástroje bloků,0,exact
BOUNDARY,HKŘIVKA,HRANICE,3,mismatch
ByValue,DleHodnoty,Podle hodnoty,3,mismatch
Changes the alignment of paragraphs to middle center,Změní zarovnání odstavců na střední centr,Změní zarovnání odstavců na střed,2,partial
Changes the color of a selected dimension text: DIMTXTCOL,Změní farbu vybraného textu kóty: DIMTXTCOL,Změní barvu vybraného textu kóty: DIMTXTCOL,3,mismatch
Char spacing,Rozteč znaků,Rozteč znaků,0,exact
Check here to delete files,Klikněte zde pro odstranění souborů,"Chcete-li soubory odstranit, zaškrtněte zde",3,mismatch
Circular,Kruhový,Oběžník,3,mismatch
Circumference,Obvod,Obvod,0,exact
Clear,Vyčistit,Jasný,3,mismatch
Close dialog anyway?,I přesto zavřít dialog?,Přesto zavřít dialog?,2,partial
Command Loaded:,Příkaz načten:,Příkaz načten:,0,exact
Confirm New Tool Installation,Potvrdit Instalaci Nového Nástroje,Potvrďte instalaci nového nástroje,3,mismatch
Confirm Rematch Exit _Confirm Rematch Exit,Potvrdit Rematch Konec _Confirm Rematch Exit,Confirm Rematch Exit _Confirm Rematch Exit,3,mismatch
Confirm Tool Palette Deletion,Potvrdit odstranění palety,Potvrďte odstranění palety nástrojů,3,mismatch
Convert to:,Konvertovat na:,Převést na:,3,mismatch
Copyright notice of the person or organization that claims the copyright to the image. The complete copyright statement should be listed in this field including any dates and statements of claims.,"Informace o autorských právech osoby nebo organizace, která uplatňuje autorská práva k obrázku. V tomto poli by mělo být uvedeno kompletní prohlášení o autorských právech včetně dat a prohlášení o nárocích.","Upozornění na autorská práva osoby nebo organizace, která si nárokuje autorská práva k obrázku. V tomto poli by mělo být uvedeno úplné prohlášení o autorských právech včetně všech dat a prohlášení o nárocích.",3,mismatch
Correlation information contained in World Files,Informace o korelaci obsažené ve světových souborech,Korelační informace obsažené ve World Files,3,mismatch
Creates a circle using a specified radius: CIRCLE,Vytvoří kružnici pomocí zadaného poloměru:  KRUŽNICE,Vytvoří kruh pomocí zadaného poloměru: CIRCLE,3,mismatch
Custom properties:,Uživatelské vlastnosti:,Vlastní vlastnosti:,3,mismatch
Customization Files,Soubory uživatelských úprav,Soubory přizpůsobení,3,mismatch
Delete Separator,Smazat oddělovač,Smazat oddělovač,0,exact
DIMSPACE,KÓTMEZERA,DIMSPACE,3,mismatch
Display Parameters Used in Expressions,Zobrazit parametry používané ve výrazech,Zobrazit parametry používané ve výrazech,0,exact
Display printable area,Zobrazit tisknutelnou plochu,Zobrazte oblast tisku,3,mismatch
Displays the name of the block,Zobrazí název bloku,Zobrazuje název bloku,3,mismatch
Drawing View Editor,Editor zobrazení výkresu,Editor pohledu výkresu,3,mismatch
DWG Compare - Change Set,Porovnání DWG - Nastavení změn,Porovnání DWG - Změnit sadu,3,mismatch
Edit &Plotter Configuration...,Upravit konfiguraci &Plotru...,Upravit &konfiguraci plotru...,1,normalized
Edit Borders,Upravit okraje,Upravit okraje,0,exact
Electrical Professional Edition,Elektro profesionální verze,Electrical Professional Edition,3,mismatch
Enter an option [Cascade/tile Horizontal/tile Vertical/Arrange icons] <Cascade>:,Zadejte možnost [Kaskáda/dlaždiceHor/dlaždiceVer/Uspořádat ikony] <Kaskáda>:,Zadejte možnost [Kaskáda/dlaždice vodorovně/dlaždice svisle/Uspořádat ikony] <Kaskáda>:,3,mismatch
Enter variable(s) to list <*>:,Do seznamu vložte systém proměnných <*>:,Zadejte proměnné do seznamu <*>:,3,mismatch
"Executes UPDATEFIELD command and selects the object to update, the latest value of the field in this object will be displayed. The Date field cannot be automatically updated by FIELDEVAL methods; it can only be manually updated by UPDATEFIELD command.","Provede příkaz AKTUALIZUJTPOLE a vybere objekt k aktualizaci, zobrazí se nejnovější hodnota pole v tomto objektu. Pole Datum nelze automaticky aktualizovat metodami FIELDEVAL; lze jej aktualizovat pouze ručně příkazem AKTUALIZUJTPOLE.","Provede příkaz UPDATEFIELD a vybere objekt k aktualizaci, zobrazí se nejnovější hodnota pole v tomto objektu. Pole Datum nelze automaticky aktualizovat metodami FIELDEVAL; lze jej aktualizovat pouze ručně příkazem UPDATEFIELD.",3,mismatch
Expands the parameter filters tree,Rozbalí strom filtrů parametrů,Rozbalí strom filtrů parametrů,0,exact
expecting class,očekává kategorii,očekávat třídu,3,mismatch
expecting keyword variable,očekává proměnnou klíčového slova,očekává se proměnná klíčového slova,3,mismatch
Export DGN File,Export soubor DGN,Export souboru DGN,3,mismatch
External Reference - Edit,Externí reference - Upravit,Externí reference - Upravit,0,exact
Find Text Control,Najít kontrolu textu,Najít ovládací prvek textu,3,mismatch
Floating Order,Plovoucí pořadí,Plovoucí objednávka,3,mismatch
Foreground lines,Čáry popředí,čáry v popředí,3,mismatch
Hidden Scale Visibility Projection Depth Annotation hatCh eXit accept _Hidden Scale Visibility Projection Depth Annotation hatCh eXit accept,Skryté Měřítko Viditelnost pRůmět Hloubka Poznámka Šrafy Konec accept _Hidden Scale Visibility Projection Depth Annotation hatCh eXit accept,Skrytá škála Viditelnost projekce Hloubka projekce šrafování šrafování eXit přijetí přijetí,3,mismatch
Hor type,Vodorovný typ,Typ Hor,3,mismatch
Horizontal Bars,Horizontání výlň,Vodorovné pruhy,3,mismatch
Horizontal minimum: %9.16q0\n,Horizontální minimum: %9.16q0\n,"Horizontální minimum: %9,16q0\n",3,mismatch
Import directly,Importujte přímo,Importujte přímo,0,exact
Input Properties,Vložit vlastnosti,Vlastnosti vstupu,3,mismatch
Item spacing:,Rozteč položek:,Rozteč položek:,0,exact
Landing distance,Vzdálenost prodloužení,Vzdálenost přistání,3,mismatch
Large Icons,Velké ikony,Velké ikony,0,exact
Layout Preview,Náhled rozvržení,Náhled rozvržení,0,exact
LAYWALK,HLADPROCH,LAYWALK,3,mismatch
Leica Pts Files (*.pts)|*.pts|,Soubor Leica Pts (*.pts)|*.pts|,Soubory Leica Pts (*.pts)|*.pts|,3,mismatch
Linetype for second extension line,Typ čáry pro druhou vynášecí čáru,Typ čáry pro druhou vynášecí čáru,0,exact
Model and layout space,Modelový a rozvržení prostor,Modelový a dispoziční prostor,3,mismatch
Mtext _Mtext,Otext _Mtext,Mtext _Mtext,3,mismatch
Multilines Edit tools,Nástroje úpravy multičáry,Nástroje pro úpravy multičar,3,mismatch
Never Shrink,Nikdy nezmenšovat,Nikdy se nezmenšovat,3,mismatch
New style,Nové písmo,Nový styl,3,mismatch
"No command is active, the preview option will also be displayed.\n(System Variable SELECTIONPREVIEW)","Není aktivní žádný příkaz, zobrazí se také možnost náhledu.\n(Systémová proměnná SELECTIONPREVIEW)","Není aktivní žádný příkaz, zobrazí se také možnost náhledu.\n(Systémová proměnná SELECTIONPREVIEW)",0,exact
Open Drawing Window Colors dialog box and specify colors for interface element in main program window.,Otevřete dialogové okno Barvy okna výkresu a zadejte barvy pro prvek rozhraní v hlavním okně programu.,Otevřete dialogové okno Barvy okna výkresu a zadejte barvy pro prvek rozhraní v hlavním okně programu.,0,exact
Orange,Oranžová,Pomerančový,3,mismatch
Outlines extraction,Extrakce obrysů,Extrakce obrysů,0,exact
Outward from center,Ven ze středu,Vně od středu,3,mismatch
Page setup is not found,Nastavení stránky nenalezeno,Nastavení stránky nebylo nalezeno,3,mismatch
Pagination Settings,Nastavení stránkování,Nastavení stránkování,0,exact
Pastes a hyperlink to the selected object:   PASTEASHYPERLINK,Vloží hypertextový odkaz k vybranému objektu:  VLOŽJAKOHYPERLINK,Vloží hypertextový odkaz na vybraný objekt: PASTEASHYPERLINK,3,mismatch
Path Array - Options,Cesta pole - Možnosti,Path Array - Možnosti,3,mismatch
Plain Washers M10_Top,Podložky M10_Shora,Hladké podložky M10_Top,3,mismatch
Please enter a positive integer number.,Zadejte prosím kladné celé číslo.,Zadejte kladné celé číslo.,3,mismatch
Please select at least one field,Vyberte prosím alespoň jedno pole,Vyberte prosím alespoň jedno pole,0,exact
Plotter Name,Název plotru,Název plotru,0,exact
PLTPLOT,PLTTISK,PLTPLOT,3,mismatch
Portuguese,Portugalština,portugalština,1,normalized
"Purged %ls ""%ls""\n","Vyčištěno %ls ""%ls""\n","Vymazáno %ls ""%ls""\n",3,mismatch
Red Yellow Green Cyan Blue Magenta White BYBlock BYLayer Truecolor COlorbook _Red Yellow Green Cyan Blue Magenta White BYBlock BYLayer Truecolor COlorbook,čeRvená žLutá Zelená Svmodrá Modrá Fialová Bílá DLEBlok DLEHlad Truecolor Kniha _Red Yellow Green Cyan Blue Magenta White BYBlock BYLayer Truecolor COlorbook,Červená Žlutá Zelená Azurová Modrá Purpurová Bílá BYBlock BYLayer Truecolor COlorbook _Červená Žlutá Zelená Azurová Modrá Purpurová Bílá BYBlock BYLayer Truecolor COlorbook,3,mismatch
Redraw\nAll,Překreslit\nvše,Překreslit\nVše,1,normalized
Remove Sheets,Odstranit listy,Odebrat listy,3,mismatch
Rename Action,Přejmenovat Akci,Přejmenovat akci,1,normalized
Restrict _Search to:,Omezit_hledání na:,Omezit _Search na:,3,mismatch
Return _Borrowed License,Vrátit _Vypůjčenou licenci,Vraťte _Vypůjčenou licenci,3,mismatch
Ribbon Toggle Button - DWF Osnap,Přepínací tlačítko pásu karet - úchopové body DWF,Tlačítko přepínání pásu karet – DWF uchycení,3,mismatch
Rotate Camera,Natočit kameru,Otočte kameru,3,mismatch
Save Block,Uložit blok,Uložit blok,0,exact
Save changed to VBA project %s?\n,Uložit změny do VBA Projektu %s?\n,Uložit změněno na projekt VBA %s?\n,3,mismatch
Select a paper size for your test plot:,Vybrat velikost papíru k testování vykreslování:,Vyberte velikost papíru pro testovací obrázek:,3,mismatch
Select Slide File,Zvolte soubor snímku,Vyberte Soubor snímku,3,mismatch
Selected: %d,Vybrané: %d,Vybráno: %d,3,mismatch
"Selects an object to change its layers in the drawing, and then selects an object on the destination layer. The selected object to change its layer will be moved to the layer of the destination object. The number of objects moved and the name of the destination layer will be displayed in the command line.","Vybere objekt, který má ve výkresu změnit jeho hladiny, a poté vybere objekt v cílové hladině. Vybraný objekt, jehož hladinu chcete změnit, se přesune do hladiny cílového objektu. Na příkazovém řádku se zobrazí počet přemístěných objektů a název cílové hladiny.","Vybere objekt pro změnu jeho vrstev ve výkresu a poté vybere objekt v cílové vrstvě. Vybraný objekt, jehož vrstvu chcete změnit, se přesune do vrstvy cílového objektu. Na příkazovém řádku se zobrazí počet přemístěných objektů a název cílové vrstvy.",3,mismatch
Sets drawing of dimension lines outside extension lines On or Off (DIMSOXD system variable),Nastaví kreslení kótovací čáry mimo vynášecí čáry na Zapnuto nebo Vypnuto (systémová proměnná DIMSOXD),Zapne nebo vypne kreslení kótovacích čar mimo vynášecí čáry (systémová proměnná DIMSOXD),3,mismatch
Sets running object snap modes: OSNAP,Nastavuje průběžné uchopovací režimy.:  UCHOP,Nastavuje spuštěné režimy uchopení objektů: OSNAP,3,mismatch
Sets the gridLineWeight value for the specified gridLineType(s) and row type(s),Nastaví hodnotu tloušťky čáry mřížky pro daný typ(y) čáry mřížky a typ(y) řádku,Nastaví hodnotu gridLineWeight pro zadané typy gridLineType a typy řádků,3,mismatch
Sets the layer and views the thumbnails of objects in the layer: LAYERBROWSER,Nastaví hladinu a zobrazení miniatury objektů v hladině:  PROHLHLAD,Nastaví vrstvu a zobrazí miniatury objektů ve vrstvě: LAYERBROWSER,3,mismatch
Sets the segment width of the polyline,Nastaví šířku segmentu křivky,Nastaví šířku segmentu křivky,0,exact
Sets the view point to southeast isometric: VIEW,Nastaví bod pohledu na iso jihovýchodní.:  POHLED,Nastaví bod pohledu na jihovýchodní izometrický: VIEW,3,mismatch
SHADEMODE,STÍNREŽIM,SHADEMODE,3,mismatch
Show lock icon for annotational constraints,Zobraziz ikonu zámku pro poznámkové vazby,Zobrazit ikonu zámku pro omezení poznámek,3,mismatch
Shows the preview of dimension input.,Zobrazuje náhled zadávání rozměrů.,Zobrazuje náhled zadání kóty.,3,mismatch
Snap the endpoint of the object.,Uchopte koncový bod objektu.,Přichyťte koncový bod objektu.,3,mismatch
Specifies block of the dimension arrowhead,Určí blok kótovací šipky,Určuje blok šipky kóty,3,mismatch
Specifies the hatch pattern spacing,Určuje rozteč šrafovacího vzoru,Určuje rozteč šrafovacích vzorů,3,mismatch
Specifies the radius of the sphere,Určuje poloměr koule,Určuje poloměr koule,0,exact
Specifies the thickness of the object,Řídí tloušťku objektu,Určuje tloušťku objektu,3,mismatch
Specifies the thickness of the trace,Určí tloušťku trasování,Určuje tloušťku stopy,3,mismatch
Specifies the verify mode of the attribute,Řídí ověřovaný režim atributu,Určuje režim ověření atributu,3,mismatch
"Specifies the X, Y, and Z coordinates of the start point of the arc","Určí souřadnice X, Y a Z počátečního bodu oblouku","Určuje souřadnice X, Y a Z počátečního bodu oblouku",3,mismatch
Specifies the Z coordinate of center point for drawing view,Určuje souřadnici Z středového bodu pro zobrazení výkresu,Určuje souřadnici Z středového bodu pro pohled výkresu,3,mismatch
"Specify a unique identity string for the command. The program will automatically specify the default ID, but it can be modified to a logical ID for the program reference.","Určete jedinečný identifikační řetězec pro příkaz. Program automaticky určí výchozí ID, ale může být upraven na logické ID pro odkaz na program.","Zadejte jedinečný řetězec identity pro příkaz. Program automaticky určí výchozí ID, ale lze jej upravit na logické ID pro referenci programu.",3,mismatch
Standard Engineering,Standardní inženýrství,Standardní inženýrství,0,exact
STEP Import,STEP Import,Import STEP,3,mismatch
Straight;Spline;None,Přímá;Spline;Žádná,Rovný; Spline; Žádný,3,mismatch
Successfully picked up the text,Text byl úspěšně vybrán,Text byl úspěšně vyzvednut,3,mismatch
Text height:,Výška textu:,Výška textu:,0,exact
Text Tools,Textové nástroje,Textové nástroje,0,exact
Text\nStyle,Styl\nTextu,Text\nStyl,3,mismatch
"The Additional Rows value you entered is invalid, please enter 0 or a positive integer.","Zadaná hodnota přidaných řádků je neplatná, zadejte prosím 0 nebo kladné celé číslo.","Zadaná hodnota dalších řádků je neplatná, zadejte prosím 0 nebo kladné celé číslo.",3,mismatch
The check function is disabled while %s command is in progress.,Funkce kontroly není povolena pokud příkaz %s probíhá.,"Funkce kontroly je deaktivována, když probíhá příkaz %s.",3,mismatch
The height of a pixel along the vertical axis.,Výška pixelu podél svislé osy.,Výška pixelu podél svislé osy.,0,exact
The layout will not be plotted unless a new plotter configuration name is selected.,Rozvržení nebude vykresleno pokud nebude vybrán nový název konfigurace plotru.,"Rozvržení nebude vykresleno, pokud není vybrán nový název konfigurace plotru.",3,mismatch
The requested operation can't be completed because of an invalid configuration. Ensure that a valid configuration is specified.,Požadovaná operace nemůže být dokončena protože je neplatná konfigurace. Ujistěte se že platná konfigurace je určena.,"Požadovanou operaci nelze dokončit z důvodu neplatné konfigurace. Ujistěte se, že je zadána platná konfigurace.",3,mismatch
The vertical offset from the top of the page.,Svislé odsazení od horní části stránky.,Svislý posun od horní části stránky.,3,mismatch
There are no registered modules to edit fields or demand loading is currently disabled,Nejsou žádné registrované moduly pro úpravu polí nebo požadavek načtení není právě povolen,Nejsou k dispozici žádné registrované moduly pro úpravu polí nebo je načítání poptávky aktuálně zakázáno,3,mismatch
This print style table can be plotted to any type output device (unlike R14 pen settings).,Na rozdíl od nastavení per R14 lze tabulku stylu vykreslování vykreslit na libovolném zařízení.,Tuto tabulku stylu tisku lze vykreslit na libovolné výstupní zařízení (na rozdíl od nastavení pera R14).,3,mismatch
Timeout (milliseconds),Timeout (milisekundy),Časový limit (milisekundy),3,mismatch
"Too many objects would be created.\nThe current array values would create approximately %d objects, exceeding the limit of %d objects","Bylo by vytvořeno příliš mnoho objektů.\nAktuální hodnoty pole by vytvořily přibližně %d objektů, přesahující limit %d objektů","Bylo by vytvořeno příliš mnoho objektů.\nAktuální hodnoty pole by vytvořily přibližně %d objektů, což by překročilo limit %d objektů",3,mismatch
Transparency Method Drop-down,Rozbalovací nabídka Metoda průhlednosti,Rozbalovací nabídka Metoda průhlednosti,0,exact
Twist along path,Zkroucení podél dráhy,Twist podél cesty,3,mismatch
Unable to find main dictionary.\nCould not start spell checker.,Nelze najít hlavní slovník.\nNelze spustit kontrolu pravopisu.,Nelze najít hlavní slovník.\nNelze spustit kontrolu pravopisu.,0,exact
Unable to locate the DOSLib help file.\nPlease locate the help file.,Nelze najít soubor nápovědy DOSLib.\nVyhledejte prosím soubor nápovědy.,Nelze najít soubor nápovědy DOSLib.\nNajděte prosím soubor nápovědy.,3,mismatch
Unable To Update Data,Data nelze aktualizovat,Nelze aktualizovat data,3,mismatch
Unrecognized operator.\n,Nerozpoznatelný operátor.\n,Neznámý operátor.\n,3,mismatch
Unstack,Zrušit seskupení,Rozbalit,3,mismatch
Use Wildcard,Použít zástupný znak,Použijte zástupný znak,3,mismatch
Varies,Různé,Liší se,3,mismatch
X Center,Střed X,X centrum,3,mismatch
{0} drawing,Výkres aplikace {0},{0} kresba,3,mismatch
