"$(if,$(eq,$(getvar,refeditname),&quot;&quot;),~,)&amp;Remove from Working Set","$(if,$(eq,$(getvar,refeditname),&quot;&quot;),~,)&amp;Odstranit z Pracovní Sady"
"$(if,$(eq,$(getvar,refeditname),&quot;&quot;),~,)&amp;Save Reference Edits","$(if,$(eq,$(getvar,refeditname),&quot;&quot;),~,)&amp;Uložit Úpravy Reference"
"$(if,$(eq,$(getvar,sistate),1),!.)&amp;Similar Search","$(if,$(eq,$(getvar,sistate),1),!.)&amp;Vyhledávání podobných"
"$(if,$(eq,$(getvar,smartselpalstate),1),!.)S&amp;mart Select","$(if,$(eq,$(getvar,smartselpalstate),1),!.)&amp;Inteligentní výběr"
"$(if,$(eq,$(getvar,tilemode),0),~)&amp;Join","$(if,$(eq,$(getvar,tilemode),0),~)&amp;Spoj"
"$(if,$(eq,$(getvar,tilemode),1),~)&amp;Object","$(if,$(eq,$(getvar,tilemode),1),~)&amp;Objekt"
"$(if,$(eq,$(getvar,tilemode),1),~)&amp;Polygonal Viewport","$(if,$(eq,$(getvar,tilemode),1),~)&amp;Polygonový Výřez"
"$(if,$(eq,$(getvar,xrefpanelstate),1),!.)External &amp;Reference","$(if,$(eq,$(getvar,xrefpanelstate),1),!.)Externí &amp;Reference"
"$(if,$(eq,$(substr,$(getvar,cmdnames),1,4),ZOOM),~,)&amp;Pan","$(if,$(eq,$(substr,$(getvar,cmdnames),1,4),ZOOM),~,)&amp;Posun Pohledu"
"$(if,$(eq,$(substr,$(getvar,cmdnames),1,4),ZOOM),~,)&amp;Zoom","$(if,$(eq,$(substr,$(getvar,cmdnames),1,4),ZOOM),~,)&amp;Zoom"
"$(if,$(or,$(=,$(getvar,annoselected),0),$(=,$(getvar,cvport),1)),~)A&amp;nnotative Scale","$(if,$(or,$(=,$(getvar,annoselected),0),$(=,$(getvar,cvport),1)),~)P&amp;oznámkové měřítko"
"$(if,$(or,$(eq,$(getvar,cmdnames),GRIP_SCALE),$(eq,$(getvar,cmdnames),GRIP_ROTATE)),,~)Re&amp;ference","$(if,$(or,$(eq,$(getvar,cmdnames),GRIP_SCALE),$(eq,$(getvar,cmdnames),GRIP_ROTATE)),,~)Re&amp;ference"
%#c (Regional long date time),%#c (Regionální dlouhý datum čas)
%#x (Regional long date),%#x (Regionální dlouhý datum)
%%CLASS,%%TŘÍDA
%-24s  %s  %s\n,%-24s  %s  %s\n
%.2f × %.2f  Inches,%.2f × %.2f  Palce
%.2f × %.2f  MM,%.2f × %.2f  MM
%.2f × %.2f  Pixels,%.2f × %.2f  Pixelů
"%.3f""","%.3f"""
%0.1f × %0.1f  INCHES,%0.1f × %0.1f  PALCE
"%1!.2f!, %2!.2f! pixels per %3!s!","%1!.2f!, %2!.2f! pixely na %3!s!"
%1!d! of the %2!d! selected layers could not be merged. \n\n The following layers can't be merged:\n  --Layer 0 and Defpoints\n  --The current layer\n  --Xref-dependent layers\n  --Locked layers\n,%1!d! z %2!d! vybraných hladin nemůže být sloučena. \n\n Následující hladiny nemůžou být sloučeny:\n  --Hladina 0 a Defpoints\n  --Aktuální hladina\n  --Hladiny závislé na Xref\n  --Zamčené hladiny\n
%1!d! of the %2!d! selected layers were not deleted.  \n\nThe following layers can't be deleted:\n     Layer 0 and Defpoints\n     The current layer\n     Xref-dependent layers\n     Layers containing objects\n,%1!d! z %2!d! vybraných hladin nebylo vymazáno.  \n\nNásledujíci hladiny nemohou být vymazány:\n     Hladina 0 a Defpoints\n     Aktuální hladina\n     Xref-závislé hladiny\n     Hladiny obsahující objekty\n
%1!d! of the %2!d! selected linetypes were not deleted.,%1!d! z %2!d! vybraných typů čar nebyl odstraněn.
%1!d! rows per strip,%1!d! řádek na proužek
%1!d! to %2!d!,%1!d! k %2!d!
%1!d! x %2!d! tiles,%1!d! x %2!d! dlaždice
%10.0f days %2d hours %2d minutes %2.4f seconds,%10.0f dnů %2d hodin %2d minut %2.4f sekund
%3.2f mm,%3.2f mm
%c (Regional short date time),%c (Regionální krátký datum čas)
%d block instance updated.\n,%d instance bloku aktualizována.\n
%d block instances updated.\n,%d instance bloků aktualizovány.\n
%d block updated.\n,Blok %d aktualizován.\n
%d blocks updated.\n,Bloky %d aktualizovány.\n
%d Boundaries found.\nThis can take some time to extend selected entity.\n\nDo you want to continue?,%d hranic nalezeno.\nMůže to trvat nějakou dobu prodloužit vybraný objekt.\n\nChcete pokračovat?
%d Boundaries found.\nThis can take some time to trim selected entity.\n\nDo you want to continue?,%d hranic nalezeno.\nMůže to trvat nějakou dobu ořezat vybraný objekt.\n\nChcete pokračovat?
%d bytes,%d bytů
%d data link(s) could not be updated.,%d datový odkaz(y) nelze aktualizovat.
"%d day(s) remaining for the borrowed license. After the license expires, the following functions will be limited.\r\nFor more information, please contact %s!\r\n\r\n1.Does not support saving files exceed 1000 objects;\r\n2.Plotting (or publishing) with watermark;\r\n3.Does not support saving as dxf file;\r\n4.Does not support export and copyclip;\r\n5.Does not support exporting files exceed 1000 objects in wblock.",%d dny(í) zbývá do vypršení vypůjčené licence. Po vypršení licence budou následující funkce omezeny.\r\nPro další informace kontaktujte %s!\r\n\r\n1.Nepodporuje ukládání souborů přesahujících 1000 objektů;\r\n2.Tisk (nebo publikování) s vodoznakem;\r\n3.Nepodporuje ukládání souborů dxf;\r\n4.Nepodporuje export a kopírování;\r\n5.Nepodporuje export souborů přesahujících 1000 objektů příkazem pišblok.
%d day(s) remaining for the license.,%d dnů zbývá do konce licence.
%d DGN underlay(s) bound successfully!\r\nFailed to bind the following DGN underlays:,%d DGN podložení bylo úspěšně vázáno!\r\nNepodařilo se vázat následující DGN podložení:
%d edge(s) found.,%d nalezeny hrany.
%d entiti(es) in locked layer(s),%d entita(y) v uzamčené hladině
%d entities selected,%d vybrané entity
%d entity selected,%d vybraná entita
"%d face found, %d removed.","%d nalezená plocha, %d odstraněna."
%d face(s) found.,%d ploch nalezeno.
%d Files found.,%d Nalezených souborů.
%d found.,%d nalezeno.
%d item(s) found\n,%d položek nalezeno\n
%d items cannot fit on path using current spacing.,%d položek nemůže být srovnáno na cestě pomocí aktuální rozteče.
%d Layer(s) will be deleted.,%d hladina(y) bude odstraněna.
%d layout file(s) failed to be read!,%d souborů rozvržení se nepodařilo přečíst!
%d lines recorded.,%d čáry zaznamenány.
%d locked object(s) not updated and removed from the selection set.,%d uzamčených objektů nebylo aktualizováno a odstraněno z výběrové množiny.
"%d matches found, %d objects in total.","%d nalezených shod, celkem %d objektů."
%d object(s) changed to a frozen or off layer and removed from the selection set!,%d objekt(ů) bylo změněno do zmrazené nebo vypnuté hladiny a bylo odstraněno z výběrové množiny!
%d object(s) imported,%d objekt(ů) importováno
"%d object(s) modified, %d object(s) did not need to change.","%d objektů upraveno, %d objekt(ů) nebylo nutné změnit."
%d object(s) modified.,%d objektů upraveno.
%d objects,%d objekty
%d objects already associated with an array action.\n,%d objekty jsou již asociativní s akcí pole.\n
"%d objects changed to layer ""%ls"".\n","%d objektů přesunuto do hladiny ""%ls"".\n"
%d objects found and selected.,%d objektů nalezeno a vybráno.
"%d objects found in total, %d selected and %d not in current space.","Celkem nalezeno %d objektů, %d vybraných a %d není v aktuálním prostoru."
%d objects found. Selection set created.,%d objektů nalezeno. Sada výběru byla vytvořena.
%d objects in the selection set are on a locked layer. Only objects on unlocked layers will be included in the block.,%d objekty ve výběru jsou v uzamčené hladině. Do bloku budou zahrnuty pouze objekty v odemčených hladinách.
%d occurrences have been replaced,%d výskytů nahrazeno
%d occurrences replaced.,%d výskytů nahrazeno.
%d of %d completed. Scan %d in progress (%d%%),%d z %d dokončeno. Probíhá skenování %d (%d%%)
%d of %d parameters displayed,%d z %d parametrů zobrazeno
%d pages have been sent to printers!,%d stránky byly odeslány do tiskárny!
%d pair(s) of objects matched.,%d párů objektů se shodou.
%d Paper Units = %d Drawing Units,%d Papírové jednotky = %d Jednotky Výkresu
%d Paper Units = %f Drawing Units,%d Papírové jednotky = %f Jednotky Výkresu
%d polylines with %d edges recorded .,%d křivka s %d zaznamenanými hranami.
%d records extracted.,%d záznamy vypsány.
%d references successfully updated.\n%d references failed.\n\n,%d reference byly úspěšně aktualizovány.\n%d reference selhaly.\n\n
%d region(s) ignored.,%d oblast(i) ignorovány.
%d selected objects are on a locked layer and cannot be updated.,%d vybraných objektů je v uzamčené hladině a nelze je aktualizovat.
%d shades of gray,%d odstínů šedi
%d sides  Circumscribed,%d strany vymezeny
%d SmartVoice object(s) on locked layers not deleted.,%d Objekty inteligentního hlasu v uzamčených hladinách nejsou odstraněny.
%d specified (%d in total),Určeno %d (celkem %d)
%d unlocked AttDefs filtered from selection.\n,%d odemčených definovaných atributů filtrovaných z výběru.\n
%d were not in the working set.,%d nebyly v pracovní sadě.
%d were not uniformly scaled block.,Nebylo jednotně zmenšeno %d bloků.
%d were on a locked layer.,%d bylo v uzamknuté hladině.
%d were the big viewport in paper space.,%d byl velký výřez v papírovém prostoru.
%d × %d  MM,%d × %d  MM
%d × %d  Pixels,%d × %d  Pixelů
%d%d%d,%d%d%d
"%d/%d/%d, %d:%d","%d/%d/%d, %d:%d"
%f Paper Units = %d Drawing Units,%f Papírové jednotky = %d Jednotky Výkresu
%f Paper Units = %f Drawing Units,%f Papírové jednotky = %f Jednotky Výkresu
%i %ls deleted.,%i %ls vymazáno.
%i attribute(s) selected.,%i atribut(y) vybrány.
%ld error(s) occurred - please check the %s file.,%ld výskyt chyby - zkontrolujte soubor %s.
%ld found,nalezeno %ld
"%ld selected,","vybráno: %ld,"
%ld were ineligible for clipping.,%ld nebylo způsobilých k ořezání.
%ld were not a valid edge or selection method.,%ld nebyly platnou hranou nebo metodou výběru.
%ld were not uniformly scaled block.,Nebylo jednotně zmenšeno %ld bloků.
%ls,%ls
%ls    (Conversion required),%ls    (Nutná konverze)
%ls %ls,%ls %ls
%ls %ls was renamed to %ls.\n,%ls %ls bylo přejmenováno na %ls.\n
%ls (missing sheet dwg file)\n,%ls (chybějící dwg soubor listu)\n
%ls \nis an invalid file name.,%ls \nje neplatný název souboru.
%ls \nUnable to open this drawing. It is encrypted and requires a password.,%ls \nNelze otevřít tento výkres. Je šifrovaný a vyžaduje heslo.
%ls Alert,%ls - Upozornění
%ls already exists. Would you like to redefine it?,%ls již existuje. Chcete ho předefinovat?
%ls Applications (*.lsp;*.zel;*.zelx;*.vls)|*.lsp;*.zel;*.zelx;*.vls|LISP Application (*.lsp)|*.lsp|LISP Encrypted Application (*.zel)|*.zel|%ls encry lisp execute file (*.zelx)|*.zelx|%ls execute file (*.vls)|*.vls|Visual LISP executable file (*.vlx)|*.vlx|Fast-load AutoLISP format (*.fas)|*.fas||,%ls aplikace (*.lsp;*.zel;*.zelx;*.vls)|*.lsp;*.zel;*.zelx;*.vls|LISP aplikace (*.lsp)|*.lsp|Šifrovaná LISP aplikace (*.zel)|*.zel|%ls šifrovaný spouštěcí soubor (*.zelx)|*.zelx|%ls spouštěcí soubor (*.vls)|*.vls|Program Visual LISP (*.vlx)|*.vlx|Formát rychlého načítání AutoLISP (*.fas)|*.fas||
%ls cannot be replaced because it already exists and is opened by another task or another user.,"%ls nelze nahradit, protože již existuje a je otevřen jiným úkolem nebo jiným uživatelem."
%ls command not allowed during block editing.,Příkaz %ls není během úpravy bloku povolen.
%ls command not allowed during reference editing.,%ls příkaz během editace reference není přístupný.
%ls command only allowed in Block Editor.,příkaz %ls je povolen pouze v Editoru bloku.
"%ls doesn't exist, so %ls can't save temporary files there. The temporary drawing files directory previously saved will be used.","%ls neexistuje, takže %ls zde nemůže uložit dočasné soubory. Budou použity původně uložené adresáře dočasných souborů."
%ls found %d differences,%ls našel %d rozdíly
%ls has detected LMAN Express Tools layer states\nand has automatically converted them to ZWCAD layer states.\n,%ls detekoval LMAN Express nástroje stavů hladin\na automaticky je konvertoval na ZWCAD stavy hladin.\n
%ls Information,Informace o %lsu
%ls is already open and must be saved to complete the addition of page setup overrides for the sheet set.,"%ls je již otevřen a musí být uložen, aby bylo možné dokončit přidání přepsání nastavení stránky pro sadu listů."
%ls is an invalid layer name!\n,%ls je neplatný název hladiny!\n
%ls is not a valid zrx file.,%ls není platný zrx soubor.
%ls is unable to complete this operation.,%ls není schopen dokončit tuto operaci.
%ls layer name(s) is invalid.\nThe layer name must be unique in this dialog session.,%ls neplatný název hladiny.\nNázev hladiny musí být jedinečný.
%ls MESSAGE,%ls správa
%ls name is invalid.\n\nMaximum length allowed is %u characters.,Neplatný %ls název.\n\nMaximální povolená délka je %u znaků.
%ls redefined and reloaded.,%ls předefinován a znovu načten.
%ls redefined.\n,%ls předefinován.\n
%ls renamed to %ls.\n,%ls přejmenováno na %ls.\n
%ls sq in. (%ls sq ft.),%ls čtv. palců (%ls čtv. stop)
%ls Unit,%ls jednotka
%ls Warning,Varování %ls
%ls%ls does not contain a color mapping table and \ncannot be used to convert your drawing. Please \nselect a different Named print style table.,%ls%ls by neměl obsahovat tabulku mapování barev a\nnelze ho použít pro konverzi výkresů. Vybrat jinou\ntabulku pojmenovaných stylů vykreslování.
%ls%ls was successfully created. The print styles are named,%ls%ls byl uspěšně vytvořený. Styly vykreslování jsou pojmenované
"%ls, %ls was not found. \nDo you want to ignore it and continue?","%ls, %ls nebyl nalezen. \nChcete to ignorovat a pokračovat?"
%ls-%ls,%ls-%ls
%ls: %d layers displayed of %d total layers,%ls: %d hladin zobrazeno z %d hladin celkem
%ls: %d of %d parameters displayed,%ls: %d z %d parametrů zobrazeno
"%ls: This plotter configuration cannot be used. Possible reasons are: \nthe driver cannot be found, the device cannot be found, or there is a problem \nwith the driver. The None plot device has been substituted.","%ls: Tuto konfiguraci plotru nelze použít. Možné důvody jsou: \novladač nelze najít, nelze najít zařízení nebo je problém \ns ovladačem. Netisknoucí zařízení bylo nahrazeno."
%ls\nsuccessfully imported.\n\nDo you want to restore the layer state immediately?,%ls\nbyl úspěšně importován.\n\nChcete obnovit stav hladin?
%lx: bad object type %d,%lx: špatný typ objektu %d
%s,%s
%s %s Drawing,Výkres %s %s
%s %s Personal Version,%s %s Osobní verze
%s %s Trial Version,%s %s Zkušební verze
%s (Dynamic),%s (Dynamický)
%s - Command Not Available,%s - Příkaz není dostupný
%s - PCL Properties Dialog,%s - Panel vlastností PCL
%s = %s is probably redundant.\n\n,%s = %s je pravděpodobně přebytečný.\n\n
%s = BYCOLOR (read only),%s = BYCOLOR (jen pro čtení)
%s [Truecolor/COlorbook] <%d (%s)>:,%s [Truecolor/Kniha barev] <%d (%s)>:
%s [Truecolor/COlorbook] <%s>:,%s [Truecolor/Kniha barev] <%s>:
%s added successfully.\n,%s úspěšňe přidáno.\n
%s Alert,Výstraha %s
"%s already exists, replace it?",%s již existuje. Chcete jej nahradit?
%s already exists.,%s již existuje.
%s already exists. Do you want to replace it?,%s již existuje. Chcete jej nahradit?
%s already exists.\nDo you want to replace it?,%s již existuje.\nChcete jej nahradit?
%s alreay exist.\nDo you want to replace them?,%s již existuje.\nChcete jej nahradit?
%s Applications (*.lsp;*.zel;*.zelx;*.vls)|*.lsp;*.zel;*.zelx;*.vls|LISP Application (*.lsp)|*.lsp|LISP Encrypted Application (*.zel)|*.zel|%s encry lisp execute file (*.zelx)|*.zelx|%s execute file (*.vls)|*.vls|Visual LISP executable file (*.vlx)|*.vlx|Fast-load AutoLISP format (*.fas)|*.fas||,%s aplikace (*.lsp;*.zel;*.zelx;*.vls)|*.lsp;*.zel;*.zelx;*.vls|LISP aplikace (*.lsp)|*.lsp|Šifrovaná LISP aplikace (*.zel)|*.zel|%s šifrovaný spouštěcí soubor (*.zelx)|*.zelx|%s spouštěcí soubor (*.vls)|*.vls|Program Visual LISP (*.vlx)|*.vlx|Formát rychlého načítání AutoLISP (*.fas)|*.fas||
%s can't be found,%s nelze najít
%s can't read the drawing %s in old format\n,%s neumí načíst výkres %s ve starém formátu\n
"%s cannot continue. You can attempt to save changes\ninto the following file: \n%s\n\nAfter you save your changes, you can open or recover the file.\nShould %s try to save your changes?",%s nemůže pokračovat. Můžete se pokusit uložit změny \ndo následujícího souboru: \n%s\n\nPo uložení vašich změn můžete otevřít nebo obnovit soubor.\nZkusit %s uložit změny?
%s Color-dependent Plot Style Table File,%s soubor barevně závislé tabulky výkresových stylů
%s Command,Příkaz aplikace %s
%s command is not available when comparing drawings.,Příkaz %s není k dispozici při porovnávání výkresů.
%s command is not available when comparing xrefs.,Příkaz %s není dostupný při porovnávání externích referencí.
%s Compiled Shape,%s kompilovaný tvar
%s contains authoring elements which cannot be edited.\nOpen drawing anyway?,"%s obsahuje autorské prvky, které nelze editovat.\nPřesto otevřít výkres?"
%s contains authoring elements.\nOpen in Block Editor?,%s obsahuje autorské prvky.\nOtevřít v Editoru bloku?
"%s contains macros. \nMacros may contain viruses. It is usually safe to disable macros, but if the macros are legitimate, you might lose some functions.","%s obsahuje makra. \nMakra můžou obsahovat viry. Zakázání maker je obvykle bezpečné, ale pokud jsou makra legitimní, můžete přijít o některé funkce."
%s converting ...,%s konverze...
%s Crash Report,Zpráva o výpadku %s
"%s Crashed in your last running, do you want to send diagnostic information back to %s?","Chyba při posledním spuštění %s, chcete odeslat diagnostické informace zpět do %su?"
%s Custom Settings,%s Vlastní nastavení
%s Data conversion failed!,%s Převod dat se nezdařil!
%s Data conversion succeeded!,%s Převod dat byl úspěšný!
"%s does not exist. \n Will not generate a request code, please verify.","%s туучшыегоу \n Nebude generovat kód požadavku, prosím potvrďte."
%s DXF,%s DXF
%s Entities,%s objekty
%s Error Aborting,%s - Ukončení s chybou
%s File format error!,%s Chyba formátu souboru!
%s file is in use. Please specify another file name.,%s se používá. Určete prosím jiný název souboru.
%s Font Map,%s Mapa fontu
%s has encountered a problem and needs to close.,%s objevil problém a je třeba jej ukončit.
%s Information,Informace o %su
%s Invalid driver or file path.,"%s Neplatný disk, nebo cesta k souboru."
%s Invalid path!,%s Neplatná cesta!
%s is already in the transmittal package.,%s je již v balíčku přenosu.
"%s is already registered, you cannot register a class with the same name twice.","%s je již registrován, nemůžete zaregistrovat třídu se stejným názvem dvakrát."
"%s is currently in use by\n %s, %s.\nWould you like to open the file read-only?","%s je právě používán v:\n %s, %s.\nChcete otevřít soubor pouze pro čtení?"
%s is no longer the default program for .dwg files.\nWould you like reassociate .dwg files with %s?,%s již není výchozí program pro soubory .dwg.\nChcete obnovit asociaci souborů .dwg se %s?
%s is not a valid zrx file.,%s není platný zrx soubor.
%s last saved in %s DXF format.\nDo you want to save in %s Drawing format?,%s naposledy uloženo v %s DXF formátu.\nChcete uložit ve %s výkresovém formátu?
%s Mail,%s Mail
%s Message,%s správa
%s Named Plot Style Table File,%s Soubor pojmenované tabulky stylu vykreslování
%s Network License warning,Varování síťové licence %s
%s not found.,%s nenalezen.
%s of %s,%s z %s
%s Online Update,%s Online aktualizace
%s Plotter Configuration File,%s konfigurační soubor plotru
%s Privacy Protection Policy,Zásady ochrany osobních údajů %s
%s registry file,Soubor registrů %s
%s setvar reject: ~A ~A,%s setvar odmítnut: ~A ~A
%s Shell,%s Skořepina
%s Smart Batch Plot,%s Chytré dávkové vykreslení
%s sq in. (%s sq ft.),%s čtv. palců (%s čtv. stop)
%s SXF file(s) failed to convert!\r\n,%s soubor(y) SXF se nepodařilo převést!\r\n
%s Syble,%s Syble
%s Syble -  File Overwrite,%s Syble - Přepsání souboru
%s This file is already in use.\nPlease save under a different name.,%s Tento soubor se právě používá.\nUložte ho pod jiným názvem.
%s VBA Project File(*.zvb)|*.zvb||,%s VBA Projekt(*.zvb)|*.zvb||
%s Version %s,%s Verze %s
%s Version Information,Informace o verzi %s
